ID	population_ID	island	archipelago
AHE_A12	AHE	Ahe	Tuamotu
AHE_A20	AHE	Ahe	Tuamotu
AHE_R03	AHE	Ahe	Tuamotu
AHE_R11	AHE	Ahe	Tuamotu
AHE_R19	AHE	Ahe	Tuamotu
AHE_A04	AHE	Ahe	Tuamotu
AHE_A13	AHE	Ahe	Tuamotu
AHE_A21	AHE	Ahe	Tuamotu
AHE_R04	AHE	Ahe	Tuamotu
AHE_R12	AHE	Ahe	Tuamotu
AHE_R20	AHE	Ahe	Tuamotu
AHE_A05	AHE	Ahe	Tuamotu
AHE_A14	AHE	Ahe	Tuamotu
AHE_A22	AHE	Ahe	Tuamotu
AHE_R05	AHE	Ahe	Tuamotu
AHE_R13	AHE	Ahe	Tuamotu
AHE_R21	AHE	Ahe	Tuamotu
AHE_A06	AHE	Ahe	Tuamotu
AHE_A15	AHE	Ahe	Tuamotu
AHE_A23	AHE	Ahe	Tuamotu
AHE_R06	AHE	Ahe	Tuamotu
AHE_R14	AHE	Ahe	Tuamotu
AHE_R22	AHE	Ahe	Tuamotu
AHE_A07	AHE	Ahe	Tuamotu
AHE_A16	AHE	Ahe	Tuamotu
AHE_A24	AHE	Ahe	Tuamotu
AHE_R07	AHE	Ahe	Tuamotu
AHE_R15	AHE	Ahe	Tuamotu
AHE_R23	AHE	Ahe	Tuamotu
AHE_A08	AHE	Ahe	Tuamotu
AHE_A17	AHE	Ahe	Tuamotu
AHE_A25	AHE	Ahe	Tuamotu
AHE_R08	AHE	Ahe	Tuamotu
AHE_R16	AHE	Ahe	Tuamotu
AHE_R24	AHE	Ahe	Tuamotu
AHE_A01	AHE	Ahe	Tuamotu
AHE_A09	AHE	Ahe	Tuamotu
AHE_A18	AHE	Ahe	Tuamotu
AHE_R01	AHE	Ahe	Tuamotu
AHE_R09	AHE	Ahe	Tuamotu
AHE_R17	AHE	Ahe	Tuamotu
AHE_R25	AHE	Ahe	Tuamotu
AHE_A02	AHE	Ahe	Tuamotu
AHE_A10	AHE	Ahe	Tuamotu
AHE_A19	AHE	Ahe	Tuamotu
AHE_R02	AHE	Ahe	Tuamotu
AHE_R10	AHE	Ahe	Tuamotu
AHE_R18	AHE	Ahe	Tuamotu
AHE_A03	AHE	Ahe	Tuamotu
AHE_A11	AHE	Ahe	Tuamotu
ANA_08	ANA	Anaa	Tuamotu
ANA_24	ANA	Anaa	Tuamotu
ANA_17	ANA	Anaa	Tuamotu
ANA_10	ANA	Anaa	Tuamotu
ANA_18	ANA	Anaa	Tuamotu
ANA_26	ANA	Anaa	Tuamotu
ANA_11	ANA	Anaa	Tuamotu
ANA_19	ANA	Anaa	Tuamotu
ANA_27	ANA	Anaa	Tuamotu
ANA_12	ANA	Anaa	Tuamotu
ANA_28	ANA	Anaa	Tuamotu
ANA_05	ANA	Anaa	Tuamotu
ANA_21	ANA	Anaa	Tuamotu
ANA_29	ANA	Anaa	Tuamotu
ANA_06	ANA	Anaa	Tuamotu
ANA_22	ANA	Anaa	Tuamotu
ANA_30	ANA	Anaa	Tuamotu
ANA_15	ANA	Anaa	Tuamotu
ANA_23	ANA	Anaa	Tuamotu
ARA_04	ARA	Aratika	Tuamotu
ARA_12	ARA	Aratika	Tuamotu
ARA_20	ARA	Aratika	Tuamotu
ARA_28	ARA	Aratika	Tuamotu
