neutral	outlier_pcadapt	outlier_outflanck	outlier_bayescan
AX-578109319	AX-578212038	AX-578212038	AX-578212038
AX-578109320	AX-578149856	AX-578149856	AX-578149856
AX-578226165	AX-578105142	AX-578105142	AX-578105142
AX-578226166	AX-578184401	AX-578184401	AX-578184401
AX-578146959	AX-578109966	AX-578109966	AX-578109966
AX-578189484	AX-578130725	AX-578130725	AX-578130725
AX-578081118	AX-578227107	AX-578227107	AX-578227107
AX-578160446	AX-578116314	AX-578116314	AX-578116314
AX-578160449	AX-578230211	AX-578230211	AX-578230211
AX-578081137	AX-578173228	AX-578173228	AX-578173228
AX-578081145	AX-578109016	AX-578109016	AX-578109016
AX-578160462	AX-578109020	AX-578109020	AX-578109020
AX-578160463	AX-578188281	AX-578188281	AX-578188281
AX-578179049	AX-578188282	AX-578188282	AX-578188282
AX-578179050	AX-578188269	AX-578188269	AX-578188269
AX-578179051	AX-578125515	AX-578125515	AX-578125515
AX-578179053	AX-578187868	AX-578187868	AX-578187868
AX-578179054	AX-578083129	AX-578083129	AX-578083129
AX-578080654	AX-578192628	AX-578192628	AX-578192628
AX-578189550	AX-578192620	AX-578192620	AX-578192620
AX-578189559	AX-578192624	AX-578192624	AX-578192624
AX-578110305	AX-578105503	AX-578105503	AX-578105503
AX-578127570	AX-578172290	AX-578172290	AX-578172290
AX-578127571	AX-578199601	AX-578199601	AX-578199601
AX-578206781	AX-578170046	AX-578170046	AX-578170046
AX-578094304	AX-578225841	AX-578225841	AX-578225841
AX-578094311	AX-578216113	AX-578216113	AX-578216113
AX-578218955	AX-578173409	AX-578173409	AX-578173409
AX-578139748	AX-578234093	AX-578234093	AX-578234093
AX-578094314	AX-578094580	AX-578094580	AX-578094580
AX-578139750	AX-578094583	AX-578094583	AX-578094583
AX-578173588	AX-578192672	AX-578192672	AX-578192672
AX-578139743	AX-578198477	AX-578198477	AX-578198477
AX-578173590	AX-578119832	AX-578119832	AX-578119832
AX-578094309	AX-578119838	AX-578119838	AX-578119838
AX-578173592	AX-578197836	AX-578197836	AX-578197836
AX-578081187	AX-578124717	AX-578124717	AX-578124717
AX-578157580	AX-578175671	AX-578175671	AX-578175671
AX-578131345	AX-578102791	AX-578102791	AX-578102791
AX-578131346	AX-578182056	AX-578182056	AX-578182056
AX-578236791	AX-578110661	AX-578110661	AX-578110661
AX-578236792	AX-578205784	AX-578205784	AX-578205784
AX-578131347	AX-578180840	AX-578180840	AX-578180840
AX-578236793	AX-578184227	AX-578184227	AX-578184227
AX-578236789	AX-578126236	AX-578126236	AX-578126236
AX-578210552	AX-578166571	AX-578166571	AX-578166571
AX-578157194	AX-578132270	AX-578132270	AX-578132270
AX-578157195	AX-578103181	AX-578103181	AX-578103181
AX-578187737	AX-578174913	AX-578174913	AX-578174913
AX-578108481	AX-578174914	AX-578174914	AX-578174914
AX-578081111	AX-578090706	AX-578090706	AX-578090706
AX-578081110	AX-578135718	AX-578135718	AX-578135718
AX-578173421	AX-578096238	AX-578096238	AX-578096238
AX-578141050	AX-578175516	AX-578175516	AX-578175516
AX-578176390	AX-578115558	AX-578115558	AX-578115558
AX-578114145	AX-578194802	AX-578194802	AX-578194802
AX-578160020	AX-578123882	AX-578123882	AX-578123882
AX-578180067	AX-578135060	AX-578135060	AX-578135060
AX-578100799	AX-578116927	AX-578116927	AX-578116927
AX-578142863	AX-578083743	AX-578083743	AX-578083743
AX-578080268	AX-578123205	AX-578123205	AX-578123205
AX-578100790	AX-578231506	AX-578231506	AX-578231506
AX-578142858	AX-578175402	AX-578175402	AX-578175402
AX-578131234	AX-578175407	AX-578175407	AX-578175407
AX-578236745	AX-578211213	AX-578211213	AX-578211213
AX-578157536	AX-578164225	AX-578164225	AX-578164225
AX-578157537	AX-578127285	AX-578127285	AX-578127285
AX-578157539	AX-578210837	AX-578210837	AX-578210837
AX-578236742	AX-578086974	AX-578086974	AX-578086974
AX-578157533	AX-578173035	AX-578173035	AX-578173035
AX-578212043	AX-578099126	AX-578099126	AX-578099126
AX-578132834	AX-578178391	AX-578178391	AX-578178391
AX-578237523	AX-578133640	AX-578133640	AX-578133640
AX-578237524	AX-578225113	AX-578225113	AX-578225113
AX-578080370	AX-578184589	AX-578184589	AX-578184589
AX-578158314	AX-578201290	AX-578201290	AX-578201290
AX-578237518	AX-578131489	AX-578131489	AX-578131489
AX-578237519	AX-578093928	AX-578093928	AX-578093928
AX-578145637	AX-578125576	AX-578125576	AX-578125576
AX-578224847	AX-578199956	AX-578199956	AX-578199956
AX-578235277	AX-578189333	AX-578189333	AX-578189333
AX-578101782	AX-578093670	AX-578093670	AX-578093670
AX-578181050	AX-578102761	AX-578102761	AX-578102761
AX-578101785	AX-578182014	AX-578182014	AX-578182014
AX-578181053	AX-578182017	AX-578182017	AX-578182017
AX-578101756	AX-578225630	AX-578225630	AX-578225630
AX-578222520	AX-578132078	AX-578132078	AX-578132078
AX-578143315	AX-578184709	AX-578184709	AX-578184709
AX-578181040	AX-578184710	AX-578184710	AX-578184710
AX-578143316	AX-578093765	AX-578093765	AX-578093765
AX-578222524	AX-578147507	AX-578147507	AX-578147507
AX-578143319	AX-578115265	AX-578115265	AX-578115265
AX-578181044	AX-578099741	AX-578099741	AX-578099741
AX-578143321	AX-578190032	AX-578190032	AX-578190032
AX-578105103	AX-578184480	AX-578184480	AX-578184480
AX-578159896	AX-578125454	AX-578125454	AX-578125454
AX-578114288	AX-578193263	AX-578193263	AX-578193263
AX-578081648	AX-578182851	AX-578182851	AX-578182851
AX-578133978	AX-578109511	AX-578109511	AX-578109511
AX-578213189	AX-578188769	AX-578188769	AX-578188769
AX-578081649	AX-578188754	AX-578188754	AX-578188754
AX-578081096	AX-578186150	AX-578186150	AX-578186150
AX-578160964	AX-578200000	AX-578200000	AX-578200000
AX-578081653	AX-578185454	AX-578185454	AX-578185454
AX-578133980	AX-578195133	AX-578195133	AX-578195133
AX-578188553	AX-578099820	AX-578099820	AX-578099820
AX-578146951	AX-578098983	AX-578098983	AX-578098983
AX-578146952	AX-578178254	AX-578178254	AX-578178254
AX-578146953	AX-578209533	AX-578209533	AX-578209533
AX-578159950	AX-578087888	AX-578087888	AX-578087888
AX-578109298	AX-578164709	AX-578164709	AX-578164709
AX-578146934	AX-578085414	AX-578085414	AX-578085414
AX-578146936	AX-578085416	AX-578085416	AX-578085416
AX-578226145	AX-578194611	AX-578194611	AX-578194611
AX-578146938	AX-578194612	AX-578194612	AX-578194612
AX-578109287	AX-578126099	AX-578126099	AX-578126099
AX-578226148	AX-578106522	AX-578106522	AX-578106522
AX-578226149	AX-578207432	AX-578207432	AX-578207432
AX-578226150	AX-578207433	AX-578207433	AX-578207433
AX-578226151	AX-578085943	AX-578085943	AX-578085943
AX-578226153	AX-578173104	AX-578173104	AX-578173104
AX-578135888	AX-578125902	AX-578125902	AX-578125902
AX-578165082	AX-578212608	AX-578212608	AX-578212608
AX-578085782	AX-578208604	AX-578208604	AX-578208604
AX-578128686	AX-578177971	AX-578177971	AX-578177971
AX-578128687	AX-578084744	AX-578084744	AX-578084744
AX-578160204	AX-578100651	AX-578100651	AX-578100651
AX-578081092	AX-578212350	AX-578212350	AX-578212350
AX-578220091	AX-578215824	AX-578215824	AX-578215824
AX-578140884	AX-578179766	AX-578179766	AX-578179766
AX-578096832	AX-578204836	AX-578204836	AX-578204836
AX-578140885	AX-578125612	AX-578125612	AX-578125612
AX-578176103	AX-578082681	AX-578082681	AX-578082681
AX-578096829	AX-578082682	AX-578082682	AX-578082682
AX-578096830	AX-578089533	AX-578089533	AX-578089533
AX-578096831	AX-578209824	AX-578209824	AX-578209824
AX-578225078	AX-578199734	AX-578199734	AX-578199734
AX-578106975	AX-578191663	AX-578191663	AX-578191663
AX-578186239	AX-578107404	AX-578107404	AX-578107404
AX-578225076	AX-578152157	AX-578152157	AX-578152157
AX-578145869	AX-578180904	AX-578180904	AX-578180904
AX-578186235	AX-578178816	AX-578178816	AX-578178816
AX-578106974	AX-578153457	AX-578153457	AX-578153457
AX-578096043	AX-578139054	AX-578165947	AX-578139054
AX-578159780	AX-578172147	AX-578197771	AX-578172147
AX-578175316	AX-578098662	AX-578170647	AX-578098662
